framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,8,1,100,5000,1,15,80,80,1.0,218.812,35.453,202.0,200,300,0.562,1.112,0.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,8,2,100,5000,1,15,80,80,1.0,228.8,24.264,221.0,213,300,0.887,1.114,1.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,8,4,100,5000,1,15,80,80,1.0,250.425,37.499,242.0,208,299,1.075,1.003,1.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,8,8,100,5000,1,15,80,80,1.0,243.275,30.713,241.5,207,291,1.1,1.946,1.0,0,12,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,8,16,100,5000,1,15,80,80,1.0,235.512,21.785,225.5,211,277,0.7,1.036,0.0,0,4,0.0,0.0,0.0,0.0,0.0
