framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
go,cpu,1,1,25,5000,1,15,30,30,1.0,2.233,1.165,3.0,0,4,19.033,8.716,22.0,0,25,0.002,0.001,0.002,0.0,0.003
go,cpu,1,1,50,5000,1,15,30,30,1.0,1.867,1.306,2.5,0,4,35.2,21.615,47.0,0,50,0.004,0.002,0.005,0.0,0.005
go,cpu,1,1,100,5000,1,15,30,30,1.0,2.367,1.377,3.0,0,5,87.933,29.833,97.0,0,100,0.009,0.003,0.01,0.0,0.01
go,cpu,1,1,200,5000,1,15,30,30,1.0,2.267,1.337,3.0,0,4,164.9,75.016,197.0,0,200,0.016,0.008,0.02,0.0,0.02
go,cpu,1,1,400,5000,1,15,30,30,1.0,2.4,1.163,3.0,0,3,197.933,1.143,198.0,197,200,0.02,0.0,0.02,0.02,0.02
