framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,110,110,100,5000,1,15,5500,5500,1.0,18.131,19.721,9.0,4,86,2.207,3.329,1.0,0,29,0.0,0.0,0.0,0.0,0.003
aspnet,cpu,130,130,100,5000,1,15,6500,6500,1.0,27.162,40.525,10.0,5,250,2.683,6.182,2.0,0,114,0.0,0.001,0.0,0.0,0.011
aspnet,cpu,150,150,100,5000,1,15,7500,7500,1.0,140.633,81.187,132.0,6,294,1.929,1.837,2.0,0,22,0.0,0.0,0.0,0.0,0.002
