framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
aspnet,cpu,8,8,500,1,8,8,1.0,1085,0.0,1085.0,1085,1085
aspnet,cpu,8,8,500,2,8,8,1.0,58,0.0,58.0,58,58
aspnet,cpu,8,8,500,3,8,8,1.0,60,0.0,60.0,60,60
aspnet,cpu,8,8,500,4,8,8,1.0,1015,0.0,1015.0,1015,1015
aspnet,cpu,8,8,500,5,8,8,1.0,544,0.0,544.0,544,544
aspnet,cpu,8,8,500,6,8,8,1.0,1005,0.0,1005.0,1005,1005
aspnet,cpu,8,8,500,7,8,8,1.0,1023,0.0,1023.0,1023,1023
aspnet,cpu,8,8,500,8,8,8,1.0,1027,0.0,1027.0,1027,1027
aspnet,cpu,8,8,500,9,8,8,1.0,1009,0.0,1009.0,1009,1009
aspnet,cpu,8,8,500,10,8,8,1.0,541,0.0,541.0,541,541
aspnet,cpu,8,8,500,11,8,8,1.0,552,0.0,552.0,552,552
aspnet,cpu,8,8,500,12,8,8,1.0,569,0.0,569.0,569,569
aspnet,cpu,8,8,500,13,8,8,1.0,52,0.0,52.0,52,52
aspnet,cpu,8,8,500,14,8,8,1.0,565,0.0,565.0,565,565
aspnet,cpu,8,8,500,15,8,8,1.0,64,0.0,64.0,64,64
aspnet,cpu,8,8,500,16,8,8,1.0,1020,0.0,1020.0,1020,1020
aspnet,cpu,8,8,500,17,8,8,1.0,559,0.0,559.0,559,559
aspnet,cpu,8,8,500,18,8,8,1.0,90,0.0,90.0,90,90
aspnet,cpu,8,8,500,19,8,8,1.0,537,0.0,537.0,537,537
aspnet,cpu,8,8,500,20,8,8,1.0,555,0.0,555.0,555,555
aspnet,cpu,8,8,500,21,8,8,1.0,548,0.0,548.0,548,548
aspnet,cpu,8,8,500,22,8,8,1.0,1020.75,0.463,1021.0,1020,1021
aspnet,cpu,8,8,500,23,8,8,1.0,1020,0.0,1020.0,1020,1020
aspnet,cpu,8,8,500,24,8,8,1.0,41.25,0.463,41.0,41,42
aspnet,cpu,8,8,500,25,8,8,1.0,1033.875,0.354,1034.0,1033,1034
aspnet,cpu,8,8,500,26,8,8,1.0,1028,0.0,1028.0,1028,1028
aspnet,cpu,8,8,500,27,8,8,1.0,541,0.0,541.0,541,541
aspnet,cpu,8,8,500,28,8,8,1.0,548.5,0.535,548.5,548,549
aspnet,cpu,8,8,500,29,8,8,1.0,555,0.0,555.0,555,555
aspnet,cpu,8,8,500,30,8,8,1.0,1046,0.0,1046.0,1046,1046
aspnet,cpu,8,8,500,31,8,8,1.0,1009,0.0,1009.0,1009,1009
aspnet,cpu,8,8,500,32,8,8,1.0,1005.125,0.354,1005.0,1005,1006
aspnet,cpu,8,8,500,33,8,8,1.0,1005,0.0,1005.0,1005,1005
aspnet,cpu,8,8,500,34,8,8,1.0,1007,0.0,1007.0,1007,1007
aspnet,cpu,8,8,500,35,8,8,1.0,1009,0.0,1009.0,1009,1009
aspnet,cpu,8,8,500,36,8,8,1.0,1005,0.0,1005.0,1005,1005
aspnet,cpu,8,8,500,37,8,8,1.0,1004,0.0,1004.0,1004,1004
aspnet,cpu,8,8,500,38,8,8,1.0,1003.25,0.707,1003.0,1003,1005
aspnet,cpu,8,8,500,39,8,8,1.0,1006,0.0,1006.0,1006,1006
aspnet,cpu,8,8,500,40,8,8,1.0,542,0.0,542.0,542,542
aspnet,cpu,8,8,500,41,8,8,1.0,48,0.0,48.0,48,48
aspnet,cpu,8,8,500,42,8,8,1.0,1032.875,0.354,1033.0,1032,1033
aspnet,cpu,8,8,500,43,8,8,1.0,582,0.0,582.0,582,582
aspnet,cpu,8,8,500,44,8,8,1.0,549.5,0.535,549.5,549,550
aspnet,cpu,8,8,500,45,8,8,1.0,45.75,0.463,46.0,45,46
aspnet,cpu,8,8,500,46,8,8,1.0,35,0.0,35.0,35,35
aspnet,cpu,8,8,500,47,8,8,1.0,563,0.0,563.0,563,563
aspnet,cpu,8,8,500,48,8,8,1.0,554,0.0,554.0,554,554
aspnet,cpu,8,8,500,49,8,8,1.0,1026,0.0,1026.0,1026,1026
aspnet,cpu,8,8,500,50,8,8,1.0,1006,0.0,1006.0,1006,1006
aspnet,cpu,10,10,500,1,10,10,1.0,1093,0.0,1093.0,1093,1093
aspnet,cpu,10,10,500,2,10,10,1.0,588,0.0,588.0,588,588
aspnet,cpu,10,10,500,3,10,10,1.0,96,0.0,96.0,96,96
aspnet,cpu,10,10,500,4,10,10,1.0,120,0.0,120.0,120,120
aspnet,cpu,10,10,500,5,10,10,1.0,98,0.0,98.0,98,98
aspnet,cpu,10,10,500,6,10,10,1.0,150.1,0.316,150.0,150,151
aspnet,cpu,10,10,500,7,10,10,1.0,100,0.0,100.0,100,100
aspnet,cpu,10,10,500,8,10,10,1.0,100,0.0,100.0,100,100
aspnet,cpu,10,10,500,9,10,10,1.0,128,0.0,128.0,128,128
aspnet,cpu,10,10,500,10,10,10,1.0,92,0.0,92.0,92,92
aspnet,cpu,10,10,500,11,10,10,1.0,122,0.0,122.0,122,122
aspnet,cpu,10,10,500,12,10,10,1.0,584.3,0.483,584.0,584,585
aspnet,cpu,10,10,500,13,10,10,1.0,82,0.0,82.0,82,82
aspnet,cpu,10,10,500,14,10,10,1.0,1038.3,0.483,1038.0,1038,1039
aspnet,cpu,10,10,500,15,10,10,1.0,1022,0.0,1022.0,1022,1022
aspnet,cpu,10,10,500,16,10,10,1.0,1024,0.0,1024.0,1024,1024
aspnet,cpu,10,10,500,17,10,10,1.0,580,0.0,580.0,580,580
aspnet,cpu,10,10,500,18,10,10,1.0,572.2,0.422,572.0,572,573
aspnet,cpu,10,10,500,19,10,10,1.0,1043,0.0,1043.0,1043,1043
aspnet,cpu,10,10,500,20,10,10,1.0,558.7,0.483,559.0,558,559
aspnet,cpu,10,10,500,21,10,10,1.0,1044,0.0,1044.0,1044,1044
aspnet,cpu,10,10,500,22,10,10,1.0,563.7,0.483,564.0,563,564
aspnet,cpu,10,10,500,23,10,10,1.0,559,0.0,559.0,559,559
aspnet,cpu,10,10,500,24,10,10,1.0,142.8,0.422,143.0,142,143
aspnet,cpu,10,10,500,25,10,10,1.0,117,0.0,117.0,117,117
aspnet,cpu,10,10,500,26,10,10,1.0,138.5,0.527,138.5,138,139
aspnet,cpu,10,10,500,27,10,10,1.0,133.4,0.516,133.0,133,134
aspnet,cpu,10,10,500,28,10,10,1.0,146,0.0,146.0,146,146
aspnet,cpu,10,10,500,29,10,10,1.0,108,0.0,108.0,108,108
aspnet,cpu,10,10,500,30,10,10,1.0,1032.2,0.422,1032.0,1032,1033
aspnet,cpu,10,10,500,31,10,10,1.0,1004,0.0,1004.0,1004,1004
aspnet,cpu,10,10,500,32,10,10,1.0,1004.3,0.483,1004.0,1004,1005
aspnet,cpu,10,10,500,33,10,10,1.0,1004,0.0,1004.0,1004,1004
aspnet,cpu,10,10,500,34,10,10,1.0,1002,0.0,1002.0,1002,1002
aspnet,cpu,10,10,500,35,10,10,1.0,1009.1,0.316,1009.0,1009,1010
aspnet,cpu,10,10,500,36,10,10,1.0,1026,0.0,1026.0,1026,1026
aspnet,cpu,10,10,500,37,10,10,1.0,1024,0.0,1024.0,1024,1024
aspnet,cpu,10,10,500,38,10,10,1.0,1044.8,0.422,1045.0,1044,1045
aspnet,cpu,10,10,500,39,10,10,1.0,1024,0.0,1024.0,1024,1024
aspnet,cpu,10,10,500,40,10,10,1.0,1037,0.0,1037.0,1037,1037
aspnet,cpu,10,10,500,41,10,10,1.0,555,0.0,555.0,555,555
aspnet,cpu,10,10,500,42,10,10,1.0,555,0.0,555.0,555,555
aspnet,cpu,10,10,500,43,10,10,1.0,1028.4,0.516,1028.0,1028,1029
aspnet,cpu,10,10,500,44,10,10,1.0,1011,0.0,1011.0,1011,1011
aspnet,cpu,10,10,500,45,10,10,1.0,1013,0.0,1013.0,1013,1013
aspnet,cpu,10,10,500,46,10,10,1.0,1019.4,0.516,1019.0,1019,1020
aspnet,cpu,10,10,500,47,10,10,1.0,1107,0.0,1107.0,1107,1107
aspnet,cpu,10,10,500,48,10,10,1.0,593,0.0,593.0,593,593
aspnet,cpu,10,10,500,49,10,10,1.0,616.2,0.422,616.0,616,617
aspnet,cpu,10,10,500,50,10,10,1.0,612.6,0.516,613.0,612,613
aspnet,cpu,12,12,500,1,12,12,1.0,1081,0.0,1081.0,1081,1081
aspnet,cpu,12,12,500,2,12,12,1.0,1025,0.0,1025.0,1025,1025
aspnet,cpu,12,12,500,3,12,12,1.0,1037.583,0.515,1038.0,1037,1038
aspnet,cpu,12,12,500,4,12,12,1.0,1004,0.0,1004.0,1004,1004
aspnet,cpu,12,12,500,5,12,12,1.0,1016.333,0.492,1016.0,1016,1017
aspnet,cpu,12,12,500,6,12,12,1.0,1033.25,0.452,1033.0,1033,1034
aspnet,cpu,12,12,500,7,12,12,1.0,1011.667,0.492,1012.0,1011,1012
aspnet,cpu,12,12,500,8,12,12,1.0,620,0.0,620.0,620,620
aspnet,cpu,12,12,500,9,12,12,1.0,148.833,0.389,149.0,148,149
aspnet,cpu,12,12,500,10,12,12,1.0,131,6.179,136.0,124,136
aspnet,cpu,12,12,500,11,12,12,1.0,135.5,0.522,135.5,135,136
aspnet,cpu,12,12,500,12,12,12,1.0,640,0.0,640.0,640,640
aspnet,cpu,12,12,500,13,12,12,1.0,560,0.0,560.0,560,560
aspnet,cpu,12,12,500,14,12,12,1.0,1036.75,0.452,1037.0,1036,1037
aspnet,cpu,12,12,500,15,12,12,1.0,1036,0.0,1036.0,1036,1036
aspnet,cpu,12,12,500,16,12,12,1.0,569,0.0,569.0,569,569
