framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
webflux,cpu,1,1,100,5000,1,15,50,50,1.0,0.3,0.614,0.0,0,3,4.66,13.813,2.5,1,100,0.0,0.001,0.0,0.0,0.01
webflux,cpu,8,8,100,5000,1,15,400,400,1.0,2.3,4.727,1.0,0,41,45.79,29.767,44.0,0,100,0.005,0.003,0.004,0.0,0.01
webflux,cpu,32,32,100,5000,1,15,1600,1600,1.0,2.204,2.975,1.0,0,35,12.614,22.733,0.0,0,99,0.001,0.002,0.0,0.0,0.01
webflux,cpu,100,100,100,5000,1,15,5000,5000,1.0,3.441,6.149,2.0,0,61,4.088,14.684,0.0,0,98,0.0,0.001,0.0,0.0,0.01
webflux,cpu,175,175,100,5000,1,15,8750,8750,1.0,4.974,10.992,2.0,0,100,2.591,12.325,0.0,0,100,0.0,0.001,0.0,0.0,0.01
