framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
aspnet,cpu,45,45,400,1,45,45,1.0,37.844,0.367,38,37,38
aspnet,cpu,45,45,400,2,45,45,1.0,30.4,0.495,30,30,31
aspnet,cpu,45,45,400,3,45,45,1.0,10.711,0.458,11,10,11
aspnet,cpu,45,45,400,4,45,45,1.0,7.756,0.435,8,7,8
aspnet,cpu,45,45,400,5,45,45,1.0,17.644,0.484,18,17,18
aspnet,cpu,45,45,400,6,45,45,1.0,8.6,0.495,9,8,9
aspnet,cpu,45,45,400,7,45,45,1.0,27.467,0.505,27,27,28
aspnet,cpu,45,45,400,8,45,45,1.0,21.689,0.468,22,21,22
aspnet,cpu,45,45,400,9,45,45,1.0,21.644,0.679,22,20,22
aspnet,cpu,45,45,400,10,45,45,1.0,8.2,0.991,9,7,9
aspnet,cpu,45,45,400,11,45,45,1.0,15.8,0.405,16,15,16
aspnet,cpu,45,45,400,12,45,45,1.0,21.733,0.78,22,19,22
aspnet,cpu,45,45,400,13,45,45,1.0,29.733,0.447,30,29,30
aspnet,cpu,45,45,400,14,45,45,1.0,50.533,0.505,51,50,51
aspnet,cpu,45,45,400,15,45,45,1.0,15.511,0.506,16,15,16
aspnet,cpu,45,45,400,16,45,45,1.0,12.578,0.499,13,12,13
aspnet,cpu,45,45,400,17,45,45,1.0,46.378,0.49,46,46,47
aspnet,cpu,45,45,400,18,45,45,1.0,8.622,0.49,9,8,9
aspnet,cpu,45,45,400,19,45,45,1.0,10.378,0.49,10,10,11
aspnet,cpu,45,45,400,20,45,45,1.0,59.2,9.708,64,40,64
aspnet,cpu,45,45,400,21,45,45,1.0,44.956,0.298,45,44,46
aspnet,cpu,45,45,400,22,45,45,1.0,39.289,0.458,39,39,40
aspnet,cpu,45,45,400,23,45,45,1.0,10.711,0.458,11,10,11
aspnet,cpu,45,45,400,24,45,45,1.0,46.689,0.468,47,46,47
aspnet,cpu,45,45,400,25,45,45,1.0,30.2,0.405,30,30,31
aspnet,cpu,45,45,400,26,45,45,1.0,9.267,0.447,9,9,10
aspnet,cpu,45,45,400,27,45,45,1.0,19.333,0.477,19,19,20
aspnet,cpu,45,45,400,28,45,45,1.0,34.511,0.506,35,34,35
aspnet,cpu,45,45,400,29,45,45,1.0,32.733,0.447,33,32,33
aspnet,cpu,45,45,400,30,45,45,1.0,32.867,0.344,33,32,33
aspnet,cpu,45,45,400,31,45,45,1.0,21.467,0.505,21,21,22
aspnet,cpu,45,45,400,32,45,45,1.0,9.8,0.405,10,9,10
aspnet,cpu,45,45,400,33,45,45,1.0,17.378,0.49,17,17,18
aspnet,cpu,45,45,400,34,45,45,1.0,21.156,0.367,21,21,22
aspnet,cpu,45,45,400,35,45,45,1.0,18.267,0.447,18,18,19
aspnet,cpu,45,45,400,36,45,45,1.0,20.667,0.477,21,20,21
aspnet,cpu,45,45,400,37,45,45,1.0,25.511,0.506,26,25,26
aspnet,cpu,45,45,400,38,45,45,1.0,18.578,0.499,19,18,19
aspnet,cpu,45,45,400,39,45,45,1.0,6.356,0.484,6,6,7
aspnet,cpu,45,45,400,40,45,45,1.0,21.022,0.26,21,20,22
aspnet,cpu,45,45,400,41,45,45,1.0,15.356,0.484,15,15,16
aspnet,cpu,45,45,400,42,45,45,1.0,12.733,0.447,13,12,13
aspnet,cpu,45,45,400,43,45,45,1.0,13.867,0.405,14,13,15
aspnet,cpu,45,45,400,44,45,45,1.0,14.156,0.367,14,14,15
aspnet,cpu,45,45,400,45,45,45,1.0,87.844,0.367,88,87,88
aspnet,cpu,45,45,400,46,45,45,1.0,85.244,0.435,85,85,86
aspnet,cpu,45,45,400,47,45,45,1.0,18.333,0.477,18,18,19
aspnet,cpu,45,45,400,48,45,45,1.0,9.733,0.447,10,9,10
aspnet,cpu,45,45,400,49,45,45,1.0,41.733,0.447,42,41,42
aspnet,cpu,45,45,400,50,45,45,1.0,12.533,0.505,13,12,13
aspnet,cpu,65,65,400,1,65,65,1.0,21.477,0.533,21,21,23
aspnet,cpu,65,65,400,2,65,65,1.0,15.523,1.511,17,14,17
aspnet,cpu,65,65,400,3,65,65,1.0,13.908,0.631,14,13,15
aspnet,cpu,65,65,400,4,65,65,1.0,149.477,0.533,149,148,150
aspnet,cpu,65,65,400,5,65,65,1.0,17.308,0.557,17,16,18
aspnet,cpu,65,65,400,6,65,65,1.0,26.031,0.558,26,25,27
aspnet,cpu,65,65,400,7,65,65,1.0,68.323,0.533,68,67,69
aspnet,cpu,65,65,400,8,65,65,1.0,9.585,0.497,10,9,10
aspnet,cpu,65,65,400,9,65,65,1.0,8.554,0.501,9,8,9
aspnet,cpu,65,65,400,10,65,65,1.0,93.646,0.482,94,93,94
aspnet,cpu,65,65,400,11,65,65,1.0,90.277,1.566,91,82,91
aspnet,cpu,65,65,400,12,65,65,1.0,62.846,0.537,63,62,64
aspnet,cpu,65,65,400,13,65,65,1.0,10.615,0.49,11,10,11
aspnet,cpu,65,65,400,14,65,65,1.0,12.031,0.529,12,11,13
aspnet,cpu,65,65,400,15,65,65,1.0,13.508,0.504,14,13,14
aspnet,cpu,65,65,400,16,65,65,1.0,149.138,0.583,149,148,150
aspnet,cpu,65,65,400,17,65,65,1.0,50.754,0.531,51,50,52
aspnet,cpu,65,65,400,18,65,65,1.0,15.323,0.562,15,14,16
aspnet,cpu,65,65,400,19,65,65,1.0,128.385,0.55,128,127,129
aspnet,cpu,65,65,400,20,65,65,1.0,21.615,0.49,22,21,22
aspnet,cpu,65,65,400,21,65,65,1.0,34.723,0.927,34,34,36
aspnet,cpu,65,65,400,22,65,65,1.0,43.046,0.648,43,42,44
aspnet,cpu,65,65,400,23,65,65,1.0,82.446,0.531,82,81,83
aspnet,cpu,65,65,400,24,65,65,1.0,7.615,0.49,8,7,8
aspnet,cpu,65,65,400,25,65,65,1.0,31.538,0.502,32,31,32
aspnet,cpu,65,65,400,26,65,65,1.0,27.354,0.598,27,26,28
aspnet,cpu,65,65,400,27,65,65,1.0,10.754,0.587,11,10,12
aspnet,cpu,65,65,400,28,65,65,1.0,169.308,0.584,169,168,170
aspnet,cpu,65,65,400,29,65,65,1.0,8.031,0.612,8,7,9
aspnet,cpu,65,65,400,30,65,65,1.0,31,0.0,31,31,31
aspnet,cpu,65,65,400,31,65,65,1.0,135.031,0.612,135,134,136
aspnet,cpu,65,65,400,32,65,65,1.0,38.292,0.631,38,37,39
aspnet,cpu,65,65,400,33,65,65,1.0,21.431,0.612,21,20,22
aspnet,cpu,65,65,400,34,65,65,1.0,151.262,0.509,151,150,152
aspnet,cpu,65,65,400,35,65,65,1.0,29.815,1.044,30,29,34
aspnet,cpu,65,65,400,36,65,65,1.0,12.569,0.499,13,12,13
aspnet,cpu,65,65,400,37,65,65,1.0,176.892,0.59,177,176,178
aspnet,cpu,65,65,400,38,65,65,1.0,25.692,0.498,26,25,27
aspnet,cpu,65,65,400,39,65,65,1.0,40.569,0.499,41,40,41
aspnet,cpu,65,65,400,40,65,65,1.0,209.769,0.553,210,209,211
aspnet,cpu,65,65,400,41,65,65,1.0,56.431,0.529,56,55,57
aspnet,cpu,65,65,400,42,65,65,1.0,37.154,0.537,37,36,38
aspnet,cpu,65,65,400,43,65,65,1.0,34.969,0.558,35,34,36
aspnet,cpu,65,65,400,44,65,65,1.0,22.277,0.6,22,21,23
aspnet,cpu,65,65,400,45,65,65,1.0,13.538,0.502,14,13,14
aspnet,cpu,65,65,400,46,65,65,1.0,160.2,0.642,160,159,161
aspnet,cpu,65,65,400,47,65,65,1.0,47.538,0.502,48,47,48
aspnet,cpu,65,65,400,48,65,65,1.0,31.569,0.499,32,31,32
aspnet,cpu,65,65,400,49,65,65,1.0,17.415,0.556,17,16,18
aspnet,cpu,65,65,400,50,65,65,1.0,151.4,0.553,151,150,152
aspnet,cpu,90,90,400,1,90,90,1.0,20.267,1.234,20.0,18,25
aspnet,cpu,90,90,400,2,90,90,1.0,13.189,0.701,13.0,12,14
aspnet,cpu,90,90,400,3,90,90,1.0,206.278,0.704,206.0,205,207
aspnet,cpu,90,90,400,4,90,90,1.0,23.911,0.681,24.0,23,25
aspnet,cpu,90,90,400,5,90,90,1.0,9.433,0.688,10.0,8,10
aspnet,cpu,90,90,400,6,90,90,1.0,8.378,0.646,8.0,7,9
aspnet,cpu,90,90,400,7,90,90,1.0,152.467,0.64,153.0,151,154
aspnet,cpu,90,90,400,8,90,90,1.0,91.6,0.7,92.0,90,93
aspnet,cpu,90,90,400,9,90,90,1.0,141.467,0.782,142.0,140,143
aspnet,cpu,90,90,400,10,90,90,1.0,186.6,0.776,187.0,185,188
aspnet,cpu,90,90,400,11,90,90,1.0,27.211,0.742,27.0,26,28
aspnet,cpu,90,90,400,12,90,90,1.0,8.144,0.743,8.0,7,9
aspnet,cpu,90,90,400,13,90,90,1.0,9.489,1.247,10.0,8,11
aspnet,cpu,90,90,400,14,90,90,1.0,59.411,0.873,60.0,58,61
aspnet,cpu,90,90,400,15,90,90,1.0,73.089,0.681,73.0,72,74
aspnet,cpu,90,90,400,16,90,90,1.0,57.167,0.707,57.0,56,58
aspnet,cpu,90,90,400,17,90,90,1.0,212.2,0.722,212.0,211,213
aspnet,cpu,90,90,400,18,90,90,1.0,37.5,0.675,38.0,36,39
aspnet,cpu,90,90,400,19,90,90,1.0,221.322,0.747,221.0,220,223
aspnet,cpu,90,90,400,20,90,90,1.0,178.656,0.781,179.0,177,180
