framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,45,45,400,5000,1,15,2250,2250,1.0,25.094,17.844,20.0,6,88,0.435,1.786,0.0,0,25,0.0,0.0,0.0,0.0,0.003
aspnet,cpu,65,65,400,5000,1,15,3250,3250,1.0,56.759,55.337,32.0,7,211,0.719,1.202,0.0,0,10,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,90,90,400,5000,1,15,4500,4500,1.0,85.985,72.377,62.0,6,228,0.93,1.184,1.0,0,9,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,120,120,400,5000,1,15,6000,6000,1.0,87.752,82.74,79.0,7,348,1.468,1.583,1.0,0,27,0.0,0.0,0.0,0.0,0.003
