framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,55,55,300,5000,2,15,2740,2695,0.9836,729.032,275.157,719,342,1910,0.593,0.671,1,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,66,66,300,5000,2,15,3296,3234,0.9812,818.483,225.965,801.0,418,1921,0.79,0.631,1.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,73,73,300,5000,2,15,3623,3139,0.8664,987.734,365.536,839,651,1931,0.763,0.678,1,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,80,80,300,5000,2,15,3949,3440,0.8711,920.997,360.419,752.0,712,1949,0.906,0.669,1.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,90,90,300,5000,2,15,4431,3870,0.8734,958.58,344.84,824.0,672,1957,1.055,1.077,1.0,0,8,0.0,0.0,0.0,0.0,0.001
