framework,D_ms,trial,ghost_write
aspnet,48,40,1
aspnet,48,41,1
aspnet,48,42,1
aspnet,48,43,1
aspnet,48,44,1
aspnet,48,45,1
aspnet,48,46,1
aspnet,48,47,1
aspnet,48,48,1
aspnet,48,49,1
aspnet,48,50,1
aspnet,62,1,0
aspnet,62,2,0
aspnet,62,3,0
aspnet,62,4,0
aspnet,62,5,0
aspnet,62,6,0
aspnet,62,7,0
aspnet,62,8,0
aspnet,62,9,0
aspnet,62,10,0
aspnet,62,11,0
aspnet,62,12,0
aspnet,62,13,0
aspnet,62,14,0
aspnet,62,15,0
aspnet,62,16,0
aspnet,62,17,0
aspnet,62,18,0
aspnet,62,19,0
aspnet,62,20,0
aspnet,62,21,0
aspnet,62,22,0
aspnet,62,23,0
aspnet,62,24,0
aspnet,62,25,0
aspnet,62,26,0
aspnet,62,27,0
aspnet,62,28,0
aspnet,62,29,0
aspnet,62,30,0
aspnet,62,31,0
aspnet,62,32,0
aspnet,62,33,0
aspnet,62,34,0
aspnet,62,35,0
aspnet,62,36,0
aspnet,62,37,0
aspnet,62,38,0
aspnet,62,39,0
aspnet,62,40,0
aspnet,62,41,0
aspnet,62,42,0
aspnet,62,43,0
aspnet,62,44,0
aspnet,62,45,0
aspnet,62,46,0
aspnet,62,47,0
aspnet,62,48,0
aspnet,62,49,0
aspnet,62,50,0
aspnet,56,1,0
aspnet,56,2,0
aspnet,56,3,0
aspnet,56,4,0
aspnet,56,5,0
aspnet,56,6,0
aspnet,56,7,0
aspnet,56,8,0
aspnet,56,9,0
aspnet,56,10,0
aspnet,56,11,0
aspnet,56,12,0
aspnet,56,13,0
aspnet,56,14,0
aspnet,56,15,0
aspnet,56,16,0
aspnet,56,17,0
aspnet,56,18,0
aspnet,56,19,0
aspnet,56,20,0
aspnet,56,21,0
aspnet,56,22,0
aspnet,56,23,0
aspnet,56,24,0
aspnet,56,25,0
aspnet,56,26,0
aspnet,56,27,0
aspnet,56,28,0
aspnet,56,29,0
aspnet,56,30,0
aspnet,56,31,0
aspnet,56,32,0
aspnet,56,33,0
aspnet,56,34,0
aspnet,56,35,0
aspnet,56,36,0
aspnet,56,37,0
aspnet,56,38,0
aspnet,56,39,0
aspnet,56,40,0
aspnet,56,41,0
aspnet,56,42,0
aspnet,56,43,0
aspnet,56,44,0
aspnet,56,45,0
aspnet,56,46,0
aspnet,56,47,0
aspnet,56,48,0
aspnet,56,49,0
aspnet,56,50,0
aspnet,110,1,0
aspnet,110,2,0
aspnet,110,3,0
aspnet,110,4,0
aspnet,110,5,0
aspnet,110,6,0
aspnet,110,7,0
aspnet,110,8,0
aspnet,110,9,0
aspnet,110,10,0
aspnet,110,11,0
aspnet,110,12,0
aspnet,110,13,0
aspnet,110,14,0
aspnet,110,15,0
aspnet,110,16,0
aspnet,110,17,0
aspnet,110,18,0
aspnet,110,19,0
aspnet,110,20,0
aspnet,110,21,0
aspnet,110,22,0
aspnet,110,23,0
aspnet,110,24,0
aspnet,110,25,0
aspnet,110,26,0
aspnet,110,27,0
aspnet,110,28,0
aspnet,110,29,0
aspnet,110,30,0
aspnet,110,31,0
aspnet,110,32,0
aspnet,110,33,0
aspnet,110,34,0
aspnet,110,35,0
aspnet,110,36,0
aspnet,110,37,0
aspnet,110,38,0
aspnet,110,39,0
aspnet,110,40,0
aspnet,110,41,0
aspnet,110,42,0
aspnet,110,43,0
aspnet,110,44,0
aspnet,110,45,0
aspnet,110,46,0
aspnet,110,47,0
aspnet,110,48,0
aspnet,110,49,0
aspnet,110,50,0
aspnet,58,1,0
aspnet,58,2,0
aspnet,58,3,0
aspnet,58,4,0
aspnet,58,5,0
aspnet,58,6,0
aspnet,58,7,0
aspnet,58,8,0
aspnet,58,9,0
aspnet,58,10,0
aspnet,58,11,0
aspnet,58,12,0
aspnet,58,13,0
aspnet,58,14,0
aspnet,58,15,0
aspnet,58,16,0
aspnet,58,17,0
aspnet,58,18,0
aspnet,58,19,0
aspnet,58,20,0
aspnet,58,21,0
aspnet,58,22,0
aspnet,58,23,0
aspnet,58,24,0
aspnet,58,25,0
aspnet,58,26,0
aspnet,58,27,0
aspnet,58,28,0
aspnet,58,29,0
aspnet,58,30,0
aspnet,58,31,0
aspnet,58,32,0
aspnet,58,33,0
aspnet,58,34,0
aspnet,58,35,0
aspnet,58,36,0
aspnet,58,37,0
aspnet,58,38,0
aspnet,58,39,0
aspnet,58,40,0
aspnet,58,41,0
aspnet,58,42,0
aspnet,58,43,0
aspnet,58,44,0
aspnet,58,45,0
aspnet,58,46,0
aspnet,58,47,0
aspnet,58,48,0
aspnet,58,49,0
aspnet,58,50,0
