START Sun May 31 09:43:06 PM CEST 2026  log=/home/tudor/dev/request-cancellation-research/experiments/sq3/logs/e4_refix_20260531_214306.log
=== RUN A: cancel_at=50ms dense ===

  trial 14/50: ghost=0  (cumulative: 0/14)
  trial 15/50: ghost=0  (cumulative: 0/15)
  trial 16/50: ghost=0  (cumulative: 0/16)
  trial 17/50: ghost=0  (cumulative: 0/17)
  trial 18/50: ghost=0  (cumulative: 0/18)
  trial 19/50: ghost=0  (cumulative: 0/19)
  trial 20/50: ghost=0  (cumulative: 0/20)
  trial 21/50: ghost=0  (cumulative: 0/21)
  trial 22/50: ghost=0  (cumulative: 0/22)
  trial 23/50: ghost=0  (cumulative: 0/23)
  trial 24/50: ghost=0  (cumulative: 0/24)
  trial 25/50: ghost=0  (cumulative: 0/25)
  trial 26/50: ghost=0  (cumulative: 0/26)
  trial 27/50: ghost=0  (cumulative: 0/27)
  trial 28/50: ghost=0  (cumulative: 0/28)
  trial 29/50: ghost=0  (cumulative: 0/29)
  trial 30/50: ghost=0  (cumulative: 0/30)
  trial 31/50: ghost=0  (cumulative: 0/31)
  trial 32/50: ghost=0  (cumulative: 0/32)
  trial 33/50: ghost=0  (cumulative: 0/33)
  trial 34/50: ghost=0  (cumulative: 0/34)
  trial 35/50: ghost=0  (cumulative: 0/35)
  trial 36/50: ghost=0  (cumulative: 0/36)
  trial 37/50: ghost=0  (cumulative: 0/37)
  trial 38/50: ghost=0  (cumulative: 0/38)
  trial 39/50: ghost=0  (cumulative: 0/39)
  trial 40/50: ghost=0  (cumulative: 0/40)
  trial 41/50: ghost=0  (cumulative: 0/41)
  trial 42/50: ghost=0  (cumulative: 0/42)
  trial 43/50: ghost=0  (cumulative: 0/43)
  trial 44/50: ghost=0  (cumulative: 0/44)
  trial 45/50: ghost=0  (cumulative: 0/45)
  trial 46/50: ghost=0  (cumulative: 0/46)
  trial 47/50: ghost=0  (cumulative: 0/47)
  trial 48/50: ghost=0  (cumulative: 0/48)
  trial 49/50: ghost=0  (cumulative: 0/49)
  trial 50/50: ghost=0  (cumulative: 0/50)

E4b transition | aspnet | D=50ms | cancel_at=50ms | runs=50
────────────────────────────────────────────────────────────
  trial 1/50: ghost=1  (cumulative: 1/1)
  trial 2/50: ghost=1  (cumulative: 2/2)
  trial 3/50: ghost=1  (cumulative: 3/3)
  trial 4/50: ghost=1  (cumulative: 4/4)
  trial 5/50: ghost=1  (cumulative: 5/5)
  trial 6/50: ghost=0  (cumulative: 5/6)
  trial 7/50: ghost=1  (cumulative: 6/7)
  trial 8/50: ghost=0  (cumulative: 6/8)
  trial 9/50: ghost=1  (cumulative: 7/9)
  trial 10/50: ghost=1  (cumulative: 8/10)
  trial 11/50: ghost=1  (cumulative: 9/11)
  trial 12/50: ghost=0  (cumulative: 9/12)
  trial 13/50: ghost=1  (cumulative: 10/13)
  trial 14/50: ghost=1  (cumulative: 11/14)
  trial 15/50: ghost=1  (cumulative: 12/15)
  trial 16/50: ghost=1  (cumulative: 13/16)
  trial 17/50: ghost=1  (cumulative: 14/17)
  trial 18/50: ghost=1  (cumulative: 15/18)
  trial 19/50: ghost=1  (cumulative: 16/19)
  trial 20/50: ghost=1  (cumulative: 17/20)
  trial 21/50: ghost=1  (cumulative: 18/21)
  trial 22/50: ghost=1  (cumulative: 19/22)
  trial 23/50: ghost=1  (cumulative: 20/23)
  trial 24/50: ghost=1  (cumulative: 21/24)
  trial 25/50: ghost=1  (cumulative: 22/25)
  trial 26/50: ghost=1  (cumulative: 23/26)
  trial 27/50: ghost=1  (cumulative: 24/27)
  trial 28/50: ghost=1  (cumulative: 25/28)
  trial 29/50: ghost=1  (cumulative: 26/29)
  trial 30/50: ghost=1  (cumulative: 27/30)
  trial 31/50: ghost=1  (cumulative: 28/31)
  trial 32/50: ghost=1  (cumulative: 29/32)
  trial 33/50: ghost=1  (cumulative: 30/33)
  trial 34/50: ghost=1  (cumulative: 31/34)
  trial 35/50: ghost=1  (cumulative: 32/35)
  trial 36/50: ghost=1  (cumulative: 33/36)
  trial 37/50: ghost=1  (cumulative: 34/37)
  trial 38/50: ghost=1  (cumulative: 35/38)
  trial 39/50: ghost=1  (cumulative: 36/39)
  trial 40/50: ghost=1  (cumulative: 37/40)
  trial 41/50: ghost=1  (cumulative: 38/41)
  trial 42/50: ghost=1  (cumulative: 39/42)
  trial 43/50: ghost=1  (cumulative: 40/43)
  trial 44/50: ghost=1  (cumulative: 41/44)
  trial 45/50: ghost=1  (cumulative: 42/45)
  trial 46/50: ghost=1  (cumulative: 43/46)
  trial 47/50: ghost=1  (cumulative: 44/47)
  trial 48/50: ghost=1  (cumulative: 45/48)
  trial 49/50: ghost=1  (cumulative: 46/49)
  trial 50/50: ghost=1  (cumulative: 47/50)

E4b transition | aspnet | D=35ms | cancel_at=50ms | runs=50
────────────────────────────────────────────────────────────
  trial 1/50: ghost=1  (cumulative: 1/1)
  trial 2/50: ghost=1  (cumulative: 2/2)
  trial 3/50: ghost=1  (cumulative: 3/3)
  trial 4/50: ghost=1  (cumulative: 4/4)
  trial 5/50: ghost=1  (cumulative: 5/5)
  trial 6/50: ghost=1  (cumulative: 6/6)
  trial 7/50: ghost=1  (cumulative: 7/7)
  trial 8/50: ghost=1  (cumulative: 8/8)
  trial 9/50: ghost=1  (cumulative: 9/9)
  trial 10/50: ghost=1  (cumulative: 10/10)
  trial 11/50: ghost=1  (cumulative: 11/11)
  trial 12/50: ghost=1  (cumulative: 12/12)
  trial 13/50: ghost=1  (cumulative: 13/13)
  trial 14/50: ghost=1  (cumulative: 14/14)
  trial 15/50: ghost=1  (cumulative: 15/15)
  trial 16/50: ghost=1  (cumulative: 16/16)
  trial 17/50: ghost=1  (cumulative: 17/17)
  trial 18/50: ghost=1  (cumulative: 18/18)
  trial 19/50: ghost=1  (cumulative: 19/19)
  trial 20/50: ghost=1  (cumulative: 20/20)
  trial 21/50: ghost=1  (cumulative: 21/21)
  trial 22/50: ghost=1  (cumulative: 22/22)
  trial 23/50: ghost=1  (cumulative: 23/23)
  trial 24/50: ghost=1  (cumulative: 24/24)
  trial 25/50: ghost=1  (cumulative: 25/25)
  trial 26/50: ghost=1  (cumulative: 26/26)
  trial 27/50: ghost=1  (cumulative: 27/27)
  trial 28/50: ghost=1  (cumulative: 28/28)
  trial 29/50: ghost=1  (cumulative: 29/29)
  trial 30/50: ghost=1  (cumulative: 30/30)
  trial 31/50: ghost=1  (cumulative: 31/31)
  trial 32/50: ghost=1  (cumulative: 32/32)
  trial 33/50: ghost=1  (cumulative: 33/33)
  trial 34/50: ghost=1  (cumulative: 34/34)
  trial 35/50: ghost=1  (cumulative: 35/35)
  trial 36/50: ghost=1  (cumulative: 36/36)
  trial 37/50: ghost=1  (cumulative: 37/37)
  trial 38/50: ghost=1  (cumulative: 38/38)
  trial 39/50: ghost=1  (cumulative: 39/39)
  trial 40/50: ghost=1  (cumulative: 40/40)
  trial 41/50: ghost=1  (cumulative: 41/41)
  trial 42/50: ghost=1  (cumulative: 42/42)
  trial 43/50: ghost=1  (cumulative: 43/43)
  trial 44/50: ghost=1  (cumulative: 44/44)
  trial 45/50: ghost=1  (cumulative: 45/45)
  trial 46/50: ghost=1  (cumulative: 46/46)
  trial 47/50: ghost=1  (cumulative: 47/47)
  trial 48/50: ghost=1  (cumulative: 48/48)
  trial 49/50: ghost=1  (cumulative: 49/49)
  trial 50/50: ghost=1  (cumulative: 50/50)

E4b transition | aspnet | D=48ms | cancel_at=50ms | runs=50
────────────────────────────────────────────────────────────
  trial 1/50: ghost=1  (cumulative: 1/1)
  trial 2/50: ghost=1  (cumulative: 2/2)
  trial 3/50: ghost=1  (cumulative: 3/3)
  trial 4/50: ghost=1  (cumulative: 4/4)
  trial 5/50: ghost=1  (cumulative: 5/5)
  trial 6/50: ghost=1  (cumulative: 6/6)
  trial 7/50: ghost=1  (cumulative: 7/7)
  trial 8/50: ghost=1  (cumulative: 8/8)
  trial 9/50: ghost=1  (cumulative: 9/9)
  trial 10/50: ghost=1  (cumulative: 10/10)
  trial 11/50: ghost=1  (cumulative: 11/11)
  trial 12/50: ghost=0  (cumulative: 11/12)
  trial 13/50: ghost=1  (cumulative: 12/13)
  trial 14/50: ghost=1  (cumulative: 13/14)
  trial 15/50: ghost=1  (cumulative: 14/15)
  trial 16/50: ghost=1  (cumulative: 15/16)
  trial 17/50: ghost=1  (cumulative: 16/17)
  trial 18/50: ghost=1  (cumulative: 17/18)
  trial 19/50: ghost=1  (cumulative: 18/19)
  trial 20/50: ghost=1  (cumulative: 19/20)
  trial 21/50: ghost=1  (cumulative: 20/21)
  trial 22/50: ghost=1  (cumulative: 21/22)
  trial 23/50: ghost=1  (cumulative: 22/23)
  trial 24/50: ghost=1  (cumulative: 23/24)
  trial 25/50: ghost=1  (cumulative: 24/25)
  trial 26/50: ghost=1  (cumulative: 25/26)
  trial 27/50: ghost=1  (cumulative: 26/27)
  trial 28/50: ghost=1  (cumulative: 27/28)
  trial 29/50: ghost=1  (cumulative: 28/29)
  trial 30/50: ghost=1  (cumulative: 29/30)
  trial 31/50: ghost=1  (cumulative: 30/31)
  trial 32/50: ghost=1  (cumulative: 31/32)
  trial 33/50: ghost=1  (cumulative: 32/33)
  trial 34/50: ghost=1  (cumulative: 33/34)
  trial 35/50: ghost=1  (cumulative: 34/35)
  trial 36/50: ghost=1  (cumulative: 35/36)
  trial 37/50: ghost=1  (cumulative: 36/37)
  trial 38/50: ghost=1  (cumulative: 37/38)
  trial 39/50: ghost=1  (cumulative: 38/39)
  trial 40/50: ghost=1  (cumulative: 39/40)
  trial 41/50: ghost=1  (cumulative: 40/41)
  trial 42/50: ghost=1  (cumulative: 41/42)
